9×8 DataFrame
 Row │ parameters  mean       std       mcse        ess_bulk  ess_tail  rhat     ess_per_sec
     │ Symbol      Float64    Float64   Float64     Float64   Float64   Float64  Float64
─────┼───────────────────────────────────────────────────────────────────────────────────────
   1 │ α            71.0623   5.20909   0.210092     874.536   778.168  1.00732      30.4271
   2 │ β[1]          2.92058  1.34748   0.0285356   2231.48   2562.45   1.00029      77.6383
   3 │ β[2]        -10.6231   1.41028   0.0303062   2164.93   2491.05   1.00147      75.323
   4 │ β[3]          6.54211  1.33203   0.0293497   2062.17   2479.91   1.00089      71.7475
   5 │ β[4]          1.08986  1.33386   0.0284942   2195.24   2876.9    1.00159      76.3775
   6 │ σ             7.39302  0.454211  0.00852795  2846.89   2544.84   1.00078      99.0499
   7 │ τ             6.35652  6.22258   0.212889    1224.28   1130.26   0.99967      42.5956
   8 │ αⱼ[1]        -3.73622  5.16514   0.206868     907.078   790.728  1.00801      31.5593
   9 │ αⱼ[2]         3.3567   5.12434   0.20013      947.479   815.723  1.00659      32.965
