15×8 DataFrame
 Row │ parameters  mean        std       mcse       ess_bulk  ess_tail   rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64    Float64   Float64    Float64  Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           69.264      9.28582   2.12493     20.8654    20.2371  1.27958     0.306732
   2 │ σ            7.00827    0.40295   0.0533502   57.175   2097.66    1.08707     0.8405
   3 │ τₐ           6.05739    5.10782   0.203272   384.077    907.79    1.0533      5.64611
   4 │ τᵦ[1]        7.76514    6.13411   0.852621    47.4162    94.7405  1.09997     0.69704
   5 │ τᵦ[2]        5.06397    4.9826    0.648525    30.4993   129.76    1.18        0.448354
   6 │ αⱼ[1]       -3.93082    5.35868   0.250242   622.141    453.518   1.09624     9.14576
   7 │ αⱼ[2]        3.24853    5.36536   0.247837   600.465    457.271   1.07262     8.82713
   8 │ βⱼ[1,1]      0.419978   0.855047  0.152984    32.3917   470.662   1.16364     0.476174
   9 │ βⱼ[2,1]     -0.805084   1.04746   0.119401    76.1819  1513.92    1.07047     1.11991
  10 │ βⱼ[3,1]      0.73379    0.917971  0.159594    31.4254   371.244   1.16789     0.461969
  11 │ βⱼ[4,1]      0.249376   0.824109  0.144454    34.0958   541.373   1.15706     0.501225
  12 │ βⱼ[1,2]      0.214857   0.733133  0.0230956  711.385   1631.01    1.02214    10.4577
  13 │ βⱼ[2,2]     -0.587502   1.21115   0.257628    24.9953    38.194   1.21794     0.367442
  14 │ βⱼ[3,2]      0.473844   0.840948  0.0481303  248.177   1157.19    1.0226      3.64833
  15 │ βⱼ[4,2]     -0.0235769  0.811298  0.0874291   76.0539  1156.98    1.06246     1.11803
